id,Name,PI_primary_dept,PI_scholar_url,PI_scholar_keywords
87,Peter Alagona,Environmental Studies,none,none
0,Sarah Anderson,Bren,https://scholar.google.com/citations?user=RCP0c0kAAAAJ&view_op=list_works&sortby=pubdate,"environmental politics, legislative politics, wildfire"
1,Ralph Archuleta,Earth Science,https://scholar.google.com/citations?user=Vj8zKdEAAAAJ&view_op=list_works&sortby=pubdate,seismology
2,Tanya Atwater,Earth Science,none,none
28,Stanley Awramik,Earth Science,none,none
3,Edward Bair,ERI,https://scholar.google.com/citations?user=WvcxF9AAAAAJ&view_op=list_works&sortby=pubdate,snow
4,Andrew Ballantine,ERI,none,none
136,Caryl Beccera,ERI,none,none
137,Tom Bell,ERI,https://scholar.google.com/citations?user=pGPS-JkAAAAJ&view_op=list_works&sortby=pubdate,"spatial ecology, ecosystem ecology, remote sensing, geography"
5,Lars Bildsten,KITP,none,none
139,Carol Blanchette,NRS,https://scholar.google.com/citations?user=MvssjqIAAAAJ&view_op=list_works&sortby=pubdate,aquatic and marine ecology
138,Joseph Blankinship,ERI,https://scholar.google.com/citations?user=VGR3kV0AAAAJ&view_op=list_works&sortby=pubdate,"soil microbial ecology, biogeochemistry, global change, soil greenhouse gas emissions, nutrient cycling"
6,Jim Boles,Earth Science,none,none
7,Bodo Bookhagen,Earth Science,https://scholar.google.com/citations?user=_UuIymgAAAAJ&view_op=list_works&sortby=pubdate,"remote sensing, geomorphology, water resources, quaternary geochronology"
8,Derek Booth,ERI,https://scholar.google.com/citations?user=Xq4ZDiAAAAAJ&view_op=list_works&sortby=pubdate,none
141,Erin Bray,ERI,https://scholar.google.com/citations?user=Swemnm8AAAAJ&view_op=list_works&sortby=pubdate,"hydrology, fluvial geomorphology, river systems science, water resources management"
54,Cherie Briggs,EEMB,https://scholar.google.com/citations?user=q0xdxtsAAAAJ&view_op=list_works&sortby=pubdate,"Population Ecology, Disease Ecology, Systems Biology"
55,Mark Brzezinski,EEMB,https://scholar.google.com/citations?user=NgJPuK8AAAAJ&view_op=list_works&sortby=pubdate,"Biological Oceanography, Marine Silicon Cycling"
1,Mark Buntaine,Bren,https://scholar.google.com/citations?user=RzT0j3EAAAAJ&view_op=list_works&sortby=pubdate,"environmental politics, governance, foreign aid, international organizations, accountability"
