id,pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
1p,Matthew Jackson,7/1/15,12/31/15,15143,American Samoa Power Authority,"California state, municipal agencies",SB150139,A preliminary geochemical characterization of lavas from a 600 meter drill core in Tutuila American Samoa,This research effort will describe sub-sample and geochemically characterize the drill core in Tutuila which represents a revolutionary opportunity to constrain the evolution of a Samoan volcano and to advance geological research in Samoa. Work at the drill site will include: logging all rock material that is cored describing the petrographic characteristics of the core and subsampling the core to build a basic petrological understanding of the core. The samples will then be used to generate an important preliminary geochemical dataset to constrain future work on Tutuila. ,2015,2015
2p,Jennifer Thorsch,6/10/14,9/30/15,25000,California Coastal Conservancy,"California state, municipal agencies",13-078,Kids in Nature Explore the Coast,The Kids in Nature (KIN) program at the University of California will provide opportunities for teachers and students to explore the coast. The goals of the program include reconnecting children to nature and engaging underserved children in activities that will develop an appreciation for and stewardship of the local coastal environment. The program will include classroom studies and student/teacher field trips to local coastal areas. In addition coastal focused activity boxes and lesson plans will be developed a two-day institute for local 4-6th grade teachers to highlight the local coastal regions and the resources available will be offered and funding for bus transportation for the teachers to bring their classes to one of the coastal locations will be provided. The program will also expand opportunities for UCSB students to serve as mentors through the KIN program. ,2014,2015
3p,Katja Seltmann,6/27/16,6/30/18,40000,California Coastal Conservancy,"California state, municipal agencies",15-124,Kids in Nature Explore the Coast (KIN2),The KIN2 program is designed to provide twenty 4-6th grade classrooms in our local area with one educational activity to one of the coastally focused KIN sites which include UCSBStorkeWetlands Coal Oil Point Reserve (COPR)North Campus Open Spaceand Arroyo Hondo Preserve. In addition one follow-up classroom visit will be provided: KIN2 staff will work in small groups to complete the specially designedactivities.KIN2 will provide opportunities for teachers and students to explore the coast. We will:Update 18 activity boxes;Provide funding for bus transportation for 20 5th grade teachers to bring their classes (approximately 600 students) to one of our coastal locations—StorkeWetlands COPR and Arroyo Hondo;Provide funding for each classroom to receive one follow-up visit from the KIN2 staff to work throughthe post field-trip activities;Expand opportunities for UCSB students to serve as mentors through the KIN2 program; Provide professional development(incorporated into each fieldtrip);Promote the use of 18 previously developed coastally focused activity boxesthat accompany each fieldtrip. The KIN2 program will engage graduate and undergraduate students to serve as mentors for the 4-6th grade students. Along with other scientists these UCSB students will provide engaging and challenging activities structured lessons and supportive interactionsboth in class and in the field. ,2016,2018
4p,Ralph Archuleta Chen Ji,10/1/17,3/31/18,49747,California Department of Conservation,"California state, municipal agencies",1017-561,Strong Ground Motion from Earthquakes on Multiple Faults,InSAR image and geological surveys demonstrate that Kaikoura earthquake resulted in slip on multiple (>12) fault segments (https://info.geonet.org.nz/display/quake/2016/12). InSAR cannot conclusively determine that all of these segments ruptured co-seismically. We propose a two-step approach to constrain the co-seismic rupture. We first investigate the co-seismic moment rate distribution using strong motion records with the multiple double-couple (MDC) approach discussed above. We assume each potential fault segments as one double-couple point source and invert for its seismic moment centroid location centroid time and rupture duration for each fault segment using teleseismic and far-field strong motion waveforms. The results will provide the spatial moment distribution and temporal distribution of point sources. When the causative fault segments are constrained we conduct finite fault inversion on a fault geometry with predefined fault segments using broadband seismic data as we did for 2008 Wenchuan and 2016 Kumamoto earthquakes. As the seismic data with higher frequency is included the fault slip is refined. ,2017,2018
5p,Roland Knapp,3/23/17,10/31/19,92862,California Department of Fish and Wildlife,"California state, municipal agencies",P1620105,Three crucially important conservation actions to recovery R. sierrae in the northern Sierra,This effort aims to inform recovery of Federally Endangered Sierra Nevada yellow-legged frogs. Actions will be undertaken to reestablish three Rana sierrae populations in the portion of the Desolation Wilderness managed by the Lake Tahoe Basin Management Unit. This work will continue efforts conducted during 2013-2016 that included translocations of adults and egg masses from the Rivendell source population (Eldorado National Forest) to Lake Lucille and/or Jabu Lake in 2013 and 2014 collection of eggs and/or metamorphs from the Rivendell source population in 2013 and 2014 for captive rearing at the San Francisco Zoo and reintroduction of captive-reared adults to Lake Lucille and/or Tamarack Lake in 2014 2015 and 2016. Insufficient time has elapsed to determine the outcome of these efforts. During the current project (11/1/2016-10/31/2019) we will continue efforts to establish self-sustaining R. sierrae populations at Jabu Lake Lake Lucille and Tamarack Lake. This will be accomplished via translocalions and reintroductions of captive-reared frogs. All populations will be intensively monitored using capture-markrecapture (CMR) methods. On completion this project will provide key insights into the feasibility of restoring R. sierrae to this portion of the Desolation Wilderness allow comparisons of the success of frog translocation versus captive rearing/reintroduction and make recommendations regarding recovery methods that should be considered in future R. sierrae recovery efforts both in the Desolation Wilderness and across the species' native range. ,2017,2019
6p,Karl Rittger,6/1/18,12/31/19,331195,California Department of Fish and Wildlife,"California state, municipal agencies",,High Resolution Snow Cover Maps for Quantifying Winter Habitat for Wildlife,Optical remote sensing can accurately provide much needed information on snow cover and snowpack; specifically we can derive snow cover and snow albedo from these instruments. Since March of 2000 the Moderate Resolution Imaging Spectroradiometer (MODIS) has provided daily images of the entire Earths surface. Historically MOD10 snow cover and albedo based on simple algorithms such as the Normalized Snow Difference Index (NDSI) have been used. However NDSI uses only parts of the electromagnetic spectrum available from Earth observing satellites while recent developments in modeling snow properties utilize innovative algorithms that take advantage of the full spectrum. Unlike NDSI these modern algorithms in this case MODIS Snow Covered Area and Grain Size (MODSCAG) maintain their performance over a broader range of land surfaces especially mountainous terrain during accumulation and in spring and summer when snow is most heterogeneous (Rittger et al. 2013). The proposed work includes adapting and introducing statistical methodology for fusing Landsat and MODIS satellite data. In particular the blended product will be daily optimal statistical estimates of snow cover at the 30m Landsat resolution but that are consistent with the coarse 500m MODIS estimates. This will be accomplished by utilizinggeneralized additive models robust feature engineering techniques from machine learning and spatial stochastic modeling that accounts for uncertainty in the fused products. ,2018,2019
7p,Joel Michaelsen Lisa Stratton Jennifer King,6/30/15,3/1/20,999989,California Department of Fish and Wildlife,"California state, municipal agencies",P1496006,North Campus Open Space Wetlands Restoration,The North Campus Open Space (NCOS) Wetlands Restoration Project Phase 1 will restore 34 acres of diverse coastal wetlands and 20 acres of upland habitat in coastal Santa Barbara County. The project is projected to sequester 549 metric tons (t) of carbon over the first 100 years of establishment and to contribute to the science of quantifying the greenhouse gas (GHG) sequestration potential of intermittently tidal coastal estuary systems through a research and monitoring program. Anticipated fish and wildlife co-benefits include supporting recovery plan recommendations for federal and state threatened and endangered species by providing expanded and improved habitat for the Tidewater Goby (TWG) Western Snowy Plover California Least Tern California Red-legged Frog Ventura Marsh Milk Vetch and Beldings Savannah Sparrow. In addition expanded habitat for migratory shorebirds and waterfowl and resident wetland and upland bird species will be created. Ecosystem benefits include reducing localized flooding problems and disturbance associated with flood control management activities improving downstream water quality through expansion of wetlands and bioswale systems within the urban to wetland interface and supporting expanded carbon sequestration denitrification and other microbial processes. Educational benefits from this project are significant because of its location on the University of California Santa Barbara (UCSB) campus with its rotating student body of 20000 students active academic research and hands-on restoration implementation and training program run by the Cheadle Center for Biodiversity and Ecological Restoration (CCBER). In addition the project site borders a relatively dense urban area (City of Goleta and the community of Isla Vista) and 652 acres of recently protected coastal open space. A trail system will be developed through the restoration project site which will connect the community to the recreational amenities of this protected open space and the beach. ,2015,2020
8p,Joel Michaelsen Lisa Stratton,1/1/16,4/30/20,997095,California Department of Fish and Wildlife,"California state, municipal agencies",P1696006,North Campus Open Space Coastal Wetland Restoration Project,The full North Campus Open Space (NCOS) Restoration Project will restore 90 acres of diverse coastal habitat that will provide important ecological and hydrological benefits to Santa Barbara County through excavation of 350000 cy of fill from the former extent of Devereux Slough on property owned by the University of California Santa Barbara (UCSB) and restoration of diverse habitats and estuarine processes which will provide multiple benefits (Figures 1 & 2 Location maps Figure 3 a& b Restoration Plans). These include reduction in flood risk to habitats and property currently within 100 year flood zone and vulnerable to projections for 3 feet of sea level rise provision of long-term support for diverse threatened and endangered species improvements in water quality greenhouse gas sequestration and the provision of educational and public access benefits for students and members of Isla Vista a disadvantaged community in Santa Barbara County. Funds will support the implementation of the majority of the wetland-related restoration components of the full project. CDFW Proposition 1 grant funds will specifically fund the: a) removal of approximately 40000 cy of the 300000 cy that will be removed with other secured funding b) implementation of fine grading and restoration actions to support the conservation of 18 acres salt marsh habitat in the face of sea level rise and 3) construction and restoration of habitat features in support of federally endangered tidewater goby migratory shorebirds and special status birds and plants. The projects impact will be expanded through monitoring and reporting to EcoAtlas and interpretive signage that will complement public access components of the larger project. ,2016,2020
9p,Carol Blanchette Marion Wittmann,6/13/19,3/15/21,506800,California Department of Forestry,"California state, municipal agencies",5GA18206,Valentine Reserve Fuel Reduction,Valentine Reserve is an ecological reserve and research station owned and operated by the University of California. The Reserve is located at the wildland urban interface (WUI) between the resort Town of Mammoth Lakes and the Inyo National Forest. Wildfire has been suppressed on the Reserve for approximately 150 years. Historical records show that average fire recurrence intervals before that time at the Valentine Reserve were as frequent as 15 years. Very high loading of fuel has accumulated and the forest is in a very unhealthy condition with excessive stand density (up to 900 stems/acre). We propose a hazardous fuels reduction project on 50 acres of high-density forest within the reserve to increase the health and resilience of the forest and to reduce potential future wildfire severity and protect developed infrastructure in the Town of Mammoth Lakes CA. Having a large natural forest preserve in such proximity to a tourist-based semi-urban community requires special attention to both the work prescribed and the methods employed for performing the work. The WUI at Valentine Reserve will require a mixture of approaches in order to achieve fuels reduction goals oriented around preservation conservation and wildfire safety. This includes the establishing of sustainable tree spacing the maintenance and preservation of a diversity of tree age and tree species and a sensitivity to wildlife habitat. This project will incorporate forest treatment prescriptions oriented around the following: selective thinning of small conifer trees by hand felling; selective removal of dead trees; removal of trees infested with bark beetles; pole saw work (raising) in some densely forested areas in order to reduce ladder fuels; and finally some raking in areas of excessive ground fuel accumulation. Treatment of the fuels material will likely be a mixture of on-site chipping complete removal to be processed and chipped at a remote green-waste facility and some minimal piling and burning. A variety of equipment types will be used in order to move the material out of the area. A minimal impact approach on the landscape will be followed as much as practical and possible throughout the project. Finally all commercially viable and useable material will be removed and processed locally for either firewood or building material. ,2019,2021
10p,Joel Michaelsen Lisa Stratton,1/19/17,11/1/20,2449000,California Department of Parks and Recreation,"California state, municipal agencies",05-6300F15,UC Santa Barbara North Campus Open Space Multi-Modal Trail Project,The project site is on a 64-acre property donated to the University of California Santa Barbara (UCSB) by the Trust for Public Land on 04/30/2013 to restore the site and incorporate public access through trail installations. UCSB supports the establishment of multi-modal public trails on the site but has no dedicated resources for this development. Through an ongoing community-based planning process it became clear that the community has a strong desire for trails and public access across the land for wildlife and open space appreciation and passive recreation including walking cycling jogging and as a safe route to school. With funding from the Active Transportation Program the trail would provide both educational opportunities and access to bus stops public schools and UCSB and to trails located on Ellwood Mesa and other portions of the adjacent 652-acre preserve (part of the Ellwood Devereux Open Space). ,2017,2020
