,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",296.0,0.0785
1,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",31.0,0.0082
2,17.0,"california, area, coastal, habitat, site, provide, include, large, support, restoration",242.0,0.0642
3,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",223.0,0.0592
4,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",91.0,0.0241
5,3.0,"sediment, river, rate, flow, watershed, channel, basin, stream, erosion, landscape",84.0,0.0223
6,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",296.0,0.0785
7,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",246.0,0.0653
8,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",142.0,0.0377
9,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",260.0,0.069
10,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",161.0,0.0427
11,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",189.0,0.0501
12,12.0,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural",205.0,0.0544
13,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",203.0,0.0538
14,12.0,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural",267.0,0.0708
15,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",174.0,0.0462
16,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",198.0,0.0525
17,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",110.0,0.0292
18,13.0,"climate, change, precipitation, variability, climate_change, event, rainfall, trend, region, response",191.0,0.0507
19,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",161.0,0.0427
20,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
21,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",,
22,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
23,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",,
24,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",,
25,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
26,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
27,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
28,8.0,"work, include, system, field, program, develop, provide, analysis, site, year",,
29,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
30,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
31,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
32,17.0,"california, area, coastal, habitat, site, provide, include, large, support, restoration",,
33,12.0,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural",,
34,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",,
35,4.0,"model, scale, spatial, base, approach, predict, estimate, develop, method, distribution",,
36,13.0,"climate, change, precipitation, variability, climate_change, event, rainfall, trend, region, response",,
37,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
38,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
39,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
40,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
41,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
42,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",,
43,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
44,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
45,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
46,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
47,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
48,5.0,"process, system, understand, study, role, important, structure, provide, complex, interaction",,
49,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
50,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
51,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
52,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
53,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
54,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
55,13.0,"climate, change, precipitation, variability, climate_change, event, rainfall, trend, region, response",,
56,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
57,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
58,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",,
59,8.0,"work, include, system, field, program, develop, provide, analysis, site, year",,
60,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
61,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
62,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
