,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.642,"precipitation, variability, rainfall, event, climate, tropical, trend, extreme, forecast, day","Intraseasonal and Interannual Variability of Extreme Dry and Wet Events over Southeastern South America and the Subtropical Atlantic during Austral Summer Intraseasonal and interannual variability of extreme wet and dry anomalies over southeastern Brazil and the western subtropical South Atlantic Ocean are investigated. Precipitation data are obtained from the Global Precipitation Climatology Project (GPCP) in pentads during 23 austral summers (DecemberFebruary 1979/802001/02). Extreme wet (dry) events are defined according to 75th (25th) percentiles of precipitation anomaly distributions observed in two time scales: intraseasonal and interannual. The agreement between the 25th and 75th percentiles of the GPCP precipitation and gridded precipitation obtained from stations in Brazil is also examined. Variations of extreme wet and dry anomalies on interannual time scales are investigated along with variations of sea surface temperature (SST) and circulation anomalies. The South Atlantic SST dipole seems related to interannual variations of extreme precipitation events over southeastern Brazil. It is shown that extreme wet and dry events in the continental portion of the South Atlantic convergence zone (SACZ) are decoupled from extremes over the oceanic portion of the SACZ and there is no coherent dipole of extreme precipitation regimes between tropics and subtropics on interannual time scales. On intraseasonal time scales, the occurrence of extreme dry and wet events depends on the propagation phase of extratropical wave trains and consequent intensification (weakening) of 200-hPa zonal winds. Extreme wet and dry events over southeastern Brazil and subtropical Atlantic are in phase on intraseasonal time scales. Extreme wet events over southeastern Brazil and subtropical Atlantic are observed in association with low-level northerly winds above the 75th percentile of the seasonal climatology over central-eastern South America. Extreme wet events on intraseasonal time scales over southeastern Brazil are more frequent during seasons not classified as extreme wet or dry on interannual time scales."
1,1.0,0.5152,"material, removal, high, show, cell, synthesis, energy, surface, structure, charge","Magnetic permanently confined micelle arrays for treating hydrophobic organic compound contamination. Magnetic permanently confined micelle arrays (Mag-PCMAs) have been successfully synthesized as sorbents for hydrophobic organic compound (HOC) removal from contaminated media. The synthesis of Mag-PCMAs involves coating a silica/surfactant mesostructured hybrid layer on the negatively charged Fe(3)O(4) microparticles to create a core/shell structure. The surfactant, 3-(trimethoxysily)propyl-octadecyldimethyl-ammonium chloride (TPODAC), has a reactive endgroup -Si(OCH(3))(3) on its hydrophilic groups, which allows the surfactant micelles to permanently anchor on the silica framework through covalent bonding. This unique structural property avoids surfactant loss during application and allows for sorbent regeneration. The isotherms and kinetics of four representative HOCs (atrazine, diuron, naphthalene, and biphenyl) onto Mag-PCMAs were determined, and the regeneration and reusability of Mag-PCMAs for diuron removal was also investigated. As a proof of principle for application of Mag-PCMAs for soil-washing, the use of Mag-PCMAs for removal of diuron from a contaminated soil was also demonstrated. All of the results showed that Mag-PCMAs are reusable sorbents for fast, convenient, and highly efficient removal of HOCs from contaminated media."
2,2.0,0.2874,"scale, spatial, distribution, temporal, pattern, range, large, local, variability, time","Synchrony in dynamics of giant kelp forests is driven by both local recruitment and regional environmental controls Populations of many species display spatially synchronous fluctuations in abundance. Synchrony is most commonly attributed to three processes: factors that influence recruitment (e.g., dispersal, early survival), large-scale environmental variability, and spatially autocorrelated trophic interactions. However it is often difficult to link population synchrony to a specific dominant process, particularly when multiple synchronizing forces are operating. We utilized a new satellite-based data set of giant kelp (Macrocystis pyrifera) canopy biomass to examine population synchrony in southern California kelp forests on spatial scales ranging from 50 m to 300 km and temporal scales ranging from 1 to 11 years. We examined the relationship between synchrony and distance for adult kelp populations, kelp recruits, sea urchin abundance (a major grazer of kelp), and environmental variables known to influence kelp population dynamics. Population synchrony in giant kelp decreased with distance between populations: an initial rapid exponential decrease between 50 m and 1.3 km was followed by a second, large-scale decrease between distances of 1.3 km and 172 km. The 50-m to 1.3-km spatial scale corresponded to the scales of synchrony in the abundance of sea urchins and young kelp recruits, suggesting that local drivers of predation and recruitment influence small-scale synchrony in kelp populations. The spatial correlation patterns of environmental variables, particularly wave height, were similar to the synchrony-distance relationship of kelp populations from 1.3 km to 172 km, suggesting that regional environmental variability, i.e., the Moran effect, was the dominant process affecting synchrony at larger spatial scales. This two-step pattern in the relationship between kelp biomass synchrony and distance was apparent in each of the 11 years of our study. Our results highlight the potential for synthesizing approaches from both landscape and population ecology in order to identify the multiple processes that generate synchrony in population dynamics."
3,3.0,0.6358,"exposure, effect, concentration, toxicity, environmental, release, nanoparticle, plant, nanomaterial, expose","Activation of antioxidant and detoxification gene expression in cucumber plants exposed to a Cu(OH) 2 nanopesticide A Cu(OH) 2 nanopesticide induced oxidative stress and activated the antioxidant defense system in cucumber plants. Cu-containing nanopesticides are increasingly being used as fungicides in modern agriculture . However, their fate, transport and toxicity in crop plants have been less studied. Here, we exposed 3 week-old cucumber plants cultivated in artificial media to different concentrations of a Cu(OH) 2 nanopesticide (0, 2.5 and 25 mg) for 7 d. The physiological and molecular responses were investigated. In order to elucidate the contribution of copper ions to the response, we also exposed the plants to CuSO 4 . Results showed that the Cu(OH) 2 nanopesticide did not reduce the photosynthetic pigment production. In contrast, 10 mg Cu ions induced a significant decrease in photosynthetic pigment levels (around 25%) and leaf chlorosis symptoms. Foliar exposure to 25 mg Cu(OH) 2 nanopesticide induced significant changes in mRNA levels of antioxidant and detoxification-related genes; 6 genes ( SOD , GPX4 , GPX , MDAR , POD , WRKY6 ) were up-regulated up to 9-fold, and one ( cAPX ) was down-regulated by 32%. The Cu(OH) 2 nanopesticide at both dose levels (2.5 and 25 mg per plant) decreased the transcript production of a stress-related gene ( DNAJ) by 40% and 80%, respectively. The up-regulation of the transcript levels of SOD, GPX4 , GPX , MDAR , POD , and WRKY6 and down-regulation of DNAJ was also observed in CuSO 4 treated plants (with increases of up to 7-fold), indicating that most of the responses are due to released copper ions. We postulate that the increased mRNA levels of antioxidants and detoxification enzymes reflect plant adaptation to over-generated reactive oxygen species (ROS) triggered by copper ions. The activated genes could serve as potential biomarkers of nanopesticide exposure and may be applicable to other plant/Cu nanopesticide interactions."
4,4.0,0.5133,"snow, water, elevation, mountain, estimate, year, snowmelt, streamflow, snowpack, snow_cover",Error Analysis of MODIS Fractional Snow-Covered Area and Snow Albedo in Mountain Regions With the significant maturation of Earth science products in the EOS era we are on the verge of true quantitative integration of these high-resolution spatially explicit data records into water resource management and research. Snowmelt runoff forecasting in mountainous areas such as the western United States has developed as empirical models forced by sparse in situ measurements of snow water equivalent that lie primarily in subalpine regions. Not only do the seasonal forecast models already have large errors in some years they rely on a data record that assumes stationarity and therefore are theoretically ill suited for water manage- ment in a changing climate. Moreover they are unable to accurately address water resources during extreme events such as persisting spring snow or new snowfall in the alpine zone above almost all measurement sites. In response to this need for better assessment of the snow resource in mountain areas new Earth System Data Records that use MODIS data have become available. However they have not been rigorously validated and uncertainties and the possible presence of systematic error are not known. In this investigation we propose to undertake this necessary validation through four years because the products will evolve. The specific Earth System Data Records are: Daily MODIS fractional snow cover. MODIS fractional snow cover based on the normalized difference snow index originally developed for Landsat [Dozier 1989; Hall et al. 2006] available from Terra (product MOD10A1) since 2000 and from Aqua (product MYD10A1) since 2002 [Salomonson and Appel 2004 2006]. MODIS fractional snow cover based on spectral mixing [Painter et al. 2009] available for the Sierra Nevada since 2000 but produced on demand for any MODIS scene. The al- gorithm will be used for the NOAA/NOHRSC National Snow Model starting in water year 2010-11 and has been adopted for the GOES-R Advanced Baseline Imager (ABI) sched- uled for launch in the 2015 timeframe. Snow albedo of the fractional snow cover based on choosing the snow endmember from spectral mixing that minimizes the residual error [Painter et al. 2009]. A snow albedo prod- uct is also available for the normal binary (snow vs no-snow) snow-covered area product [Klein and Stroeve 2002] but it is usually applied to continuous snow cover. MODIS fractional snow cover and albedo smoothed and interpolated across time and space to compensate for cloud cover off-nadir viewing and data dropouts [Dozier et al. 2008]. The analyses are available as monthly data cubes during the snow seasons for the Sierra Nevada since 2000. The coupling presented here of fractional snow cover and the albedo of that snow provides water managers with spatially and temporally dense data records that populate modeling in- puts for forecasting and research. Their use in snowmelt models and reservoir operations would be advanced by our proposed investigation which would validate the products analyze the structure of errors and advise users of caveats and likely accuracy. Of greatest interest is their potential combination with surface data and energy balance models to help estimate the -1-spatial distribution of snow water equivalent (SWE). SWE can be interpolated in near real time from snow pillow and snow course measurements constraining the surface measurements by satellite snow-cover estimates [Fassnacht et al. 2003]. In addition SWE can be reconstructed from satellite snow-cover estimates and snow-depletion models [Martinec and Rango 1981; Cline et al. 1998; Molotch 2009].
5,5.0,0.6423,"ca, age, formation, arc, extension, early, rift, area, time, record","Synvolcanic crustal extension during the mid-Cenozoic ignimbrite flare-up in the northern Sierra Madre Occidental, Mexico: Evidence from the Guazapares Mining District region, western Chihuahua The timing and spatial extent of mid-Cenozoic ignimbrite flare-up volcanism of the Sierra Madre Occidental silicic large igneous province of Mexico in relation to crustal extension is relatively unknown. Extension in the Sierra Madre Occidental has been variably interpreted to have preceded, postdated, or begun during Early Oligocene flare-up volcanism of the silicic large igneous province. New geologic mapping, zircon U-Pb laser ablationinductively coupled plasmamass spectrometry dating, modal analysis, and geochemical data from the Guazapares Mining District region along the western edge of the northern Sierra Madre Occidental silicic large igneous province have identified three informal synextensional formations. The ca. 27.5 Ma Parajes formation is an º1-km-thick succession composed primarily of welded to nonwelded silicic outflow ignimbrite sheets erupted from distant sources. The 2724.5 Ma T moris formation is interpreted as an andesitic volcanic center composed of locally erupted mafic to intermediate composition lavas and associated intrusions, with interbedded andesite-clast fluvial and debris flow deposits, and an upper section of thin distal silicic outflow ignimbrites. The 24.523 Ma Sierra Guazapares formation is composed of silicic vent facies ignimbrites to proximal ignimbrites, lavas, plugs, dome-collapse deposits, and fluvially or debris flowreworked equivalents. These three formations record (1) the accumulation of outflow ignimbrite sheets, presumably erupted from calderas mapped º50100 km east of the study area that were active during the Early Oligocene pulse of the mid-Cenozoic ignimbrite flare-up; (2) development of an andesitic volcanic field in the study area, likely related to rocks of the Southern Cordillera basaltic andesite province that were intermittently erupted across all of the northern Sierra Madre Occidental toward the end of and following the Early Oligocene ignimbrite pulse; and (3) the initiation of explosive and effusive silicic fissure magmatism in the study area during the Early Miocene pulse of the mid-Cenozoic ignimbrite flare-up. The main geologic structures identified in the Guazapares Mining District region are NNWtrending normal faults, with an estimated minimum of 20% total horizontal extension. Normal faults were active during deposition of all three formations (Parajes, T moris, and Sierra Guazapares), and bound half-graben basins that show evidence of synvolcanic extension (e.g., growth strata) during deposition. Normal faulting began by ca. 27.5 Ma during deposition of the youngest ignimbrites of the Parajes formation, concurrent with the end of the Early Oligocene silicic ignimbrite pulse to the east and before magmatism began in the study area. In addition, preexisting normal faults localized andesitic volcanic vents of the T moris formation and silicic vents of the Sierra Guazapares formation, and some faults were reactivated during, as well as after, deposition of these formations. We interpret extensional faulting and magmatism in the Guazapares Mining District region to be part of a regional-scale Middle Eocene to Early Miocene southwestward migration of active volcanism and crustal extension in the northern Sierra Madre Occidental. We show that extension accompanied silicic volcanism in the Guazapares region, and overlapped with the peak of mid-Cenozoic ignimbrite flare-up in the Sierra Madre Occidental; this supports the interpretation that there is a relationship between lithospheric extension and silicic large igneous province magmatism."
6,6.0,0.4755,"water, flux, lake, measurement, surface, seasonal, control, regional, exchange, net",Collaborative Research: Arctic to the Amazon: Physical Processes Controlling Gas Exchange from Freshwater Ecosystems Despite the small overall surface area of lakes reservoirs streams and rivers estimates of carbon dioxide and methane emissions indicate aquatic ecosystems play an important role in regional carbon balances (Richey et al. 2002; Melack et al. 2004). Further lakes are anticipated to be sentinels of climate change with the balance between autotrophic growth and respiration in lakes anticipated to change with increased anthropogenic activity in their watersheds and with climate change. Studies have been and are being conducted worldwide to assess the role of lakes and reservoirs in regional and global carbon cycles and efforts are underway to estimate metabolic activity in lakes. Essential to both efforts are accurate estimates of gas fluxes at the air-water interface. The gas transfer coefficient used in the calculation of fluxes depends upon turbulence at the air-water interface but in most biogeochemical studies either a fixed conservative value is used or one based on wind speed alone. Other processes which cause turbulence are neglected. We estimate that regional carbon budgets are in error by at least a factor of two and likely higher in warm water lakes due to incorrect parameterization of the gas transfer coefficient. The error is unknown in cold water lakes. The surface renewal model takes into account the various processes which induce turbulence in near-surface waters yet has never been validated for lakes. We propose to combine direct air-water flux measurements of carbon dioxide using eddy covariance techniques with in situ measurements of the water-side CO2 concentration profile turbulence and energy fluxes to evaluate and improve upon the surface renewal model of the gas transfer coefficient. We further propose studies using SF6 in lakes too small for EC studies with measurements taken on time scales of events which drive gas flux. We propose studies in an arctic temperate zone and tropical lake to capture the latitudinal variations in physical forcing which affect turbulence near the air-water interface. Our overarching goal is a formulation of the gas transfer coefficient which can be readily applied in ecosystem studies of lakes at any latitude. 
7,7.0,0.583,"fault, rate, fold, basin, deformation, km, active, structure, slip, central","Basin width control of faulting in the Naryn Basin, south central Kyrgyzstan In Central Asias Tien Shan, deformation is distributed across the wide orogen, a characteristic of intracontinental mountain building. Active faults are commonly found within intramontane basins that separate its constituent ranges. In order to explore the controls on this intramontane basin deformation, we study the Naryn Basin of south-central Kyrgyzstan. A series of five balanced cross-sections reveals a transition in patterns of faulting from faults confined to basin margins to faults focused within the basin center. The 20-km-wide eastern Naryn Basin displays deformation attributed to low-angle splays of the northern, basin-bounding fault. In the 40-km-wide western Naryn Basin, the pattern of deformation linked to the northern range remains, but is accompanied by steeper faults that dip both south and north without being directly linked to the basin-bounding fault. We compare these cross-sections to synthetic aperture radar interferometry (InSAR) measurements of surface deformation. Profiles of InSAR-derived surface deformation rates across the Naryn Basin reveal that in the west, deformation is distributed across the broad basin interior, whereas in the east, rapid uplift is concentrated at the margin of the narrower basin. From the geodetic and structural data, we infer that in the western Naryn Basin, deformation has migrated away from the northern basin margin and into the interior. Deformation of the eastern basin interior, however, remains linked to the basin-bounding fault. A simple mechanical model demonstrates that basin width may control basin deformation whereby basin-interior faulting in the narrow, eastern Naryn Basin is inhibited by the overburden of adjacent ranges."
8,8.0,0.466,"coastal, california, groundwater, water, central, coast, rate, time, determine, potential",Linking coastal contamination to the local sewage system using a sulfer hexaflouride as deliberate tracer As part of a larger study being conducted by Dr. Stanley Grant (UC Irvine) a deliberate tracer experiment will be initiated by the UCSB group using sulfur hexafluoride (SF6). The methodology to be used was developed by Dr. Jordan Clark at UCSB to investigate the movement (travel times) of artificially recharged water near spreading ponds. Dr. Clarks group has conducted groundwater tracer experiments in numerous locations in southern California (Gamlin et al. 2001; Clark et al. 2004 2005; Avisar and Clark 2005; McDermott et al. 2008). His group has also used SF6 to investigate mine drainage contamination to Clear Lake (Schladow and Clark 2008) and dispersion in the Stockton Deep Water Shipping Channel (Schmieder et al. 2008). In all cases permission was asked for and granted to use SF6 as a tracer in California aquifers. During the initial phase of the proposed experiment tracer-rich water will be released into the sewer lines as a series of hourly slug additions over a tidal cycle. The tracer rich water will be created by equilibrating about 20 liters of water with pure SF6 in a closed container. I expect that the finally SF6 concentration to be more than 10% of the equilibrium value. During the second phase water samples will be collected at location along the beach in pre weighed 10 ml VacutainersTM and sent to UCSB for analysis. All SF6 samples will be analyzed using a headspace method similar to that described by Clark et al. (2004). The VacutainersTM will be partially filled (about 5 ml of water) in the field. At UCSB they will be weighed (to determine the sample size) and carefully filled with ultra-high purity nitrogen gas (so that the final head space pressure is equal to about 1 atmosphere). After a brief shaking to equilibrate the nitrogen gas with the water sample the headspace gas will be injected through a column of Mg(ClO4)2 (to remove water vapor) into a small sample loop of known volume (about 1 ml). Subsequently the gas in the sample loop will be flushed into a gas chromatograph equipped with an electron capture detector with ultra-high purity nitrogen carrier gas. SF6 will be separated from other gases with a molecular sieve 5a column held at room temperature. The detector response will be determined by running gas standards purchased from Scott-Marrin Inc. With this method error on duplicate measurements is typically better than ¬±10%. Laboratory experiments have shown that SF6 samples can be stored for at least 6 months without appreciable loss of SF6 in VacutainerTM. The detection limit of this method is about 0.1 pmol/L so we will be able to detect sewer water after a 100000:1 dilution even if some SF6 is lost due to water-air gas transfer. SF6 a non-toxic and non-reactive gas is an ideal tracer of groundwater flow. It has been shown in laboratory experiments and during a field experiment conducted near Phoenix AZ that in the absence of non-aqueous phases its movement is not retarded in porous media (Wilson and Mackay 1993 1996; Gamlin et al. 2001; Lee et al. 2008). It has been used as a tracer for mixing and gas exchange for decades in a number of settings including lakes rivers and the open ocean (e.g. Wanninkhof 1985 1987; Ledwell et al. 1986; Clark et al. 1996; Schladow and Clark 2008; Schmieder et al. 2008; MacInyre et al. 2009). More recently SF6 has been used successfully in groundwater studies in California (Orange LA and Ventura Counties) that traced the movement of artificially recharged water through groundwater systems (Gamlin et al. 2001; Clark et al. 2004 2005; Avisar and Clark 2005; McDermott et al. 2008) and mine pit water into Clear Lake (Schladow and Clark 2008). In all cases permission was requested and granted by the Department of Public Health to use SF6 as a tracer in these potable supply aquifers. There are a number of advantages of using SF6 as a tracer of artificial recharge. First SF6 is more economical than most other tracers (such as Br- and Rhodamine dye) and hence more water can be tagged decreasing the probability that the tracers will pass wells undetected. Second it does not change the density of the tagged water thus buoyancy effects do not complicate the interpretation of the experimental results (e.g. Istok and Humphrey 1995). Third SF6 does not degrade the quality of the water; it causes no known adverse health effects (Lester and Greenberg 1950). Forth because it is a gas SF6 can be removed from water easily by aeration. In fact any SF6 that is discharged in to the bay will be lost to the atmosphere within a few weeks.
9,9.0,0.5902,"record, age, ice, glacial, glacier, change, date, sea_level, present, retreat","Rapid last-deglacial thinning and retreat of the marine-terminating southwestern Greenland ice sheet Marine-terminating outlet glaciers are a major source of modern ice loss from the Greenland Ice Sheet (GrIS), but their role in GrIS retreat during the last deglaciation is not well constrained. Here, we develop deglacial outlet glacier retreat chronologies for four regions in southwest and south Greenland to improve understanding of spatial variations in centennial- to millennial-scale ice loss under a warming climate. We calculate 10Be surface exposure ages of boulders located in fjords near the towns of Qaqortoq, Paamiut, Nuuk, and Sisimiut. Our northernmost study site, Sisimiut, deglaciated earliest at º18 ka to º15 ka with an average thinning rate of 0.10.3 m yr1. Inland retreat from Sisimiut to the modern ice margin took º7 ka at an average retreat rate of 1520 m yr1. A 10Be-dated moraine º25 km from the modern GrIS margin deposited at º8 ka suggests a possible ice-margin still-stand, but this does not change overall retreat rates. After retreat from the small coastal Sisimiut fjords, the GrIS margin was mainly land-terminating in this region. In contrast, earliest exposure occurred at º12 ka near Qaqortoq, and 1110 ka near Nuuk and Paamiut, with ice thinning at rates of 0.20.3 m yr1 to instantaneous within measurement uncertainty. Ice retreat inland through the extensive Nuuk, Paamiut, and Qaqortoq fjord systems to near modern ice margins occurred in <1 ka, resulting in minimum retreat rates of 2565 m yr1 and maximum retreat rates of º95 m yr1 to instantaneous within the uncertainty of our measurements. This rapid thinning and retreat of marine-terminating southwest GrIS margins is contemporaneous with an incursion of relatively warm ocean waters into the Labrador Sea and toward the southwest Greenland coast, suggesting that a warming ocean may have contributed to the more rapid retreat of marine GrIS termini in the Nuuk, Paamiut, and Qaqortoq fjord systems relative to the slower ice retreat inland from Sisimiut. Our results highlight past outlet glacierocean interaction as a potentially important driver in rapid GrIS retreat."
