,Document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42
0,0,0.028083041399663635,0.03725237675193789,0.013117115129427037,0.012792688300757502,0.020133080775180178,0.06726771433460094,0.01150882739502253,0.010927874242043624,0.013702459023132146,0.029465502788851475,0.016206524471566307,0.010362309037002573,0.011790302911254462,0.015196808222196738,0.016870574909695426,0.010652663962005036,0.010460587829123773,0.0,0.0,0.011884498569846937,0.010622245992292879,0.010958061255980079,0.010901275679599356,0.01002597936692268,0.011428988228764082,0.12507711245869574,0.010937665095653143,0.010348792304801938,0.0,0.0,0.010757531383671786,0.04375459910133577,0.09043331524359799,0.012086186202979144,0.0,0.01090816683103125,0.13696251620825078,0.04043206315226648,0.0,0.015972130974576136,0.012903055152640308,0.0,0.0
1,1,0.01198934996153328,0.08298420171507005,0.011428177827194299,0.017276524488701653,0.0,0.01616369591032675,0.015224596333933261,0.011975622495430174,0.24641607357545325,0.0,0.014163486035539175,0.014480428155245023,0.013059677098565923,0.010743261587173522,0.05952671011770105,0.011776612927561674,0.019426931932183908,0.010431288228763635,0.0,0.0,0.028122062439186375,0.0,0.12704994630178984,0.014431355279089423,0.0,0.0,0.01627110078610839,0.010675326685544006,0.0,0.0,0.0,0.0,0.023148562522016622,0.0,0.01769776063728103,0.027005395545164707,0.01177764029467369,0.0,0.010954852558992987,0.010637915148084065,0.01474116419565975,0.0,0.0
2,2,0.18179997582322488,0.0,0.0,0.0,0.0,0.02359215416052696,0.0,0.011232833325850353,0.0,0.09736399654930655,0.015132127320945802,0.0,0.0,0.0,0.0,0.18252213203772116,0.0,0.0,0.0,0.0,0.0,0.010321179939713583,0.0,0.0,0.01111165214770802,0.0,0.0,0.0,0.15299638633939572,0.0,0.0,0.0,0.018169778244617397,0.07475392255842718,0.0,0.0,0.0,0.010082053123472233,0.0,0.0,0.0,0.015305925638091848,0.0
3,3,0.0,0.0,0.012971373253875651,0.0,0.0,0.0,0.10276528783476942,0.0,0.0,0.0,0.14674107331690903,0.0855442492667146,0.06090527289107499,0.0,0.015917712415778683,0.012012246292283816,0.020530698641895457,0.0,0.017948220145714806,0.0,0.0,0.14687692038543904,0.0,0.02097846619487173,0.0,0.011686769147565878,0.0,0.0,0.023189421975541365,0.0,0.012199545710394128,0.0,0.0,0.0,0.0,0.019202290039761982,0.011128625647279664,0.0,0.010749190199785649,0.03566991291457226,0.0,0.05213370031426748,0.013492077844190578
4,4,0.011331668253429752,0.011330033548473797,0.0,0.0,0.0,0.0,0.0,0.01836794091784112,0.0,0.06533084266099515,0.0,0.01286797787006607,0.010676348548399817,0.028138054919957085,0.02749857004075777,0.0,0.01571564482926156,0.016897459467059693,0.0,0.0,0.3118581427340337,0.0,0.06828834418675454,0.0,0.0,0.014006550355841361,0.0,0.0,0.0,0.0,0.015143287582893085,0.012056335534233596,0.03011495311374514,0.0,0.0186181675524655,0.02817806566714441,0.0,0.043402265489181434,0.0,0.010118516384540015,0.0,0.02576787255469847,0.026066007937822492
5,5,0.0,0.23032302670630384,0.0,0.07651753802732854,0.0,0.018086336443151423,0.0,0.04642662155974668,0.0,0.032287237498630085,0.011603581152189433,0.018717023162261804,0.03399084107124687,0.021575466454537003,0.021009140681442103,0.0,0.013313380365276357,0.0,0.031002187497447965,0.019857620984112662,0.040584091783850376,0.04949039183389213,0.010572745861147375,0.014956556465516363,0.0,0.01317436921025484,0.0,0.0,0.012443834227732436,0.025796663448798295,0.01292483143593649,0.0,0.0,0.015391845718697374,0.0,0.0,0.024468525664165106,0.0,0.013054575296693254,0.011147856018754213,0.0,0.017440503738465087,0.015676100134770644
6,6,0.0,0.0,0.041861420388019564,0.014786936463265364,0.0,0.019102155842706647,0.0,0.039213763322950075,0.01132782021912506,0.0,0.0,0.04585747216460898,0.0,0.021551338972483174,0.0,0.014180420596454479,0.019668561002517102,0.010002857819021712,0.0917100984950044,0.0,0.08761487942038541,0.012178181349909181,0.08042686729294152,0.0541303694374846,0.0,0.05715555195118723,0.013652246592250459,0.07164093453237104,0.0,0.012362953504527053,0.013754191459748995,0.013954125230690465,0.0,0.01640643637163668,0.0,0.04436917675473673,0.01890376218500219,0.0,0.010318735017839326,0.0,0.012526187911081014,0.01621348204956111,0.0
7,7,0.0,0.03937131687140959,0.0,0.0,0.0,0.0,0.0,0.012676110878066403,0.3802504036309457,0.012278966784355083,0.0,0.0,0.03699305191082901,0.0,0.0,0.0,0.060648626950886644,0.033421785506007544,0.01425345865911981,0.01027673249470132,0.17838261964783508,0.0,0.0,0.010167538823636198,0.010062326805353416,0.0,0.0,0.0,0.0,0.011532264191625214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01484047069819707,0.0,0.0
8,8,0.028135070978427795,0.0,0.01799505990837577,0.0,0.0,0.0,0.0,0.0359466547364045,0.0,0.0,0.01313538662514358,0.025853075613362808,0.0,0.0,0.03248490982298965,0.0,0.0,0.0,0.0,0.0,0.011962904237854432,0.0,0.0,0.0,0.0,0.011689675855828916,0.0,0.0,0.0,0.4369603697196565,0.0,0.03883421947676492,0.0,0.0,0.09822806840102259,0.014616056119014226,0.0,0.014330015950894172,0.01089859890840824,0.0,0.01033051496799059,0.0,0.0
9,9,0.010839545341487181,0.0,0.01585185916850178,0.022053915166678147,0.0,0.0,0.01295459758983661,0.014535118310910812,0.010259137648867104,0.0,0.0464256109470448,0.0,0.03130279271061886,0.010438705660256332,0.0226489724604082,0.010079382286407642,0.01003974139008454,0.0,0.0,0.04954911473729348,0.0,0.013465443621919395,0.02166637385492633,0.0,0.019376049410482803,0.0,0.0,0.03845552066941019,0.0,0.017372382392561097,0.21344678877173878,0.06864878193975477,0.0,0.025351197180736036,0.01017864919337415,0.020076756301288468,0.04709519363629894,0.011081456625758912,0.028746881458041152,0.030119424526225253,0.0,0.01355205045036475,0.04006570227014545
