,Document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42
0,0,0.028085771623918915,0.03727333593173276,0.013116088128619979,0.012794622177246629,0.020109458309803006,0.06726666074742602,0.0115078283062745,0.010927909203255846,0.01368494075617229,0.029473182809606077,0.01624061015448753,0.010362122762477366,0.011789684616844378,0.015196973501510207,0.016864437254568824,0.010652874156752944,0.010460757370556196,0.0,0.0,0.011884027982739976,0.010622638178314991,0.010958556374958928,0.010901249187439547,0.01002605068391487,0.0114289152385381,0.1250676168763598,0.010937782065122607,0.010348936775034918,0.0,0.0,0.010757389620641208,0.04376028915318219,0.09042507919683834,0.012086638936394615,0.0,0.01090837771859817,0.1369645382625302,0.04042347298060964,0.0,0.015972429673903242,0.012903554921703692,0.0,0.0
1,1,0.01198889125540646,0.08298122882001516,0.01142844425437013,0.01728381153244146,0.0,0.016163710406485614,0.015226608776894067,0.01197579492235789,0.24641600791840232,0.0,0.014160797221164529,0.014480384357795275,0.013058109036670056,0.010741914187328446,0.05952597555619259,0.011776043632673832,0.01942714734002599,0.010431551031443697,0.0,0.0,0.028114258930304635,0.0,0.12705071674427565,0.01443118302382482,0.0,0.0,0.01626990823172809,0.010675366174866738,0.0,0.0,0.0,0.0,0.023151174770565497,0.0,0.017697737416105593,0.027004987293568167,0.011777977891070306,0.0,0.010956022756992189,0.010637804158456145,0.014746614761337346,0.0,0.0
2,2,0.18179973596242388,0.0,0.0,0.0,0.0,0.023592444773212914,0.0,0.011232902269334879,0.0,0.0973639853729724,0.015131732895151054,0.0,0.0,0.0,0.0,0.182524629246758,0.0,0.0,0.0,0.0,0.0,0.010322560386378826,0.0,0.0,0.011112205582354918,0.0,0.0,0.0,0.1529967798859055,0.0,0.0,0.0,0.018169100772433094,0.07475820958983413,0.0,0.0,0.0,0.010079980086394505,0.0,0.0,0.0,0.015304401812506325,0.0
3,3,0.0,0.0,0.01297148375711498,0.0,0.0,0.0,0.1027668547557829,0.0,0.0,0.0,0.1467470146216392,0.08554399175396638,0.060905344887253306,0.0,0.015917597756565396,0.011995133003653222,0.02053268246795031,0.0,0.01794778830519096,0.0,0.0,0.14688044292511584,0.0,0.020978079909987096,0.0,0.011686812913911574,0.0,0.0,0.023186093913200492,0.0,0.012200171779845798,0.0,0.0,0.0,0.0,0.01920043861528196,0.011135220282119086,0.0,0.010749215533606742,0.03566836223674935,0.0,0.05213664774216629,0.013496225318151365
4,4,0.011330595039999714,0.011324660051850654,0.0,0.0,0.0,0.0,0.0,0.018355719607680832,0.0,0.06533232505568812,0.0,0.012868034574846029,0.010677557999409637,0.028135642979468842,0.0275454129275159,0.0,0.015709126747930437,0.01689794522551177,0.0,0.0,0.3118574235157093,0.0,0.06828773106208273,0.0,0.0,0.014005793705369562,0.0,0.0,0.0,0.0,0.015145700475755816,0.012054912656737521,0.030104460808176643,0.0,0.018617415492299724,0.028178643318248656,0.0,0.04340524020687379,0.0,0.010122860244226192,0.0,0.02577586308781724,0.026052513997366727
5,5,0.0,0.23031728482303004,0.0,0.07651728680783439,0.0,0.018084304740994435,0.0,0.04641452277975093,0.0,0.03229151933954085,0.011607113814691084,0.018716682272388943,0.033986110565829744,0.021574714614608692,0.021009676876914445,0.0,0.013315215421393183,0.0,0.03098722090464547,0.01986115162543362,0.04058769982339294,0.04948991729925954,0.010570991355483027,0.014956311734944033,0.0,0.01318567022518914,0.0,0.0,0.012447582203819623,0.025797007332794983,0.012938581120309498,0.0,0.0,0.01540434938077296,0.0,0.0,0.024445081636456867,0.0,0.013053823810210785,0.011151277639887856,0.0,0.017452459362242347,0.015669058801286263
6,6,0.0,0.0,0.041848475057973476,0.014781490847360204,0.0,0.01912428003357797,0.0,0.03920940920138175,0.011331289814517009,0.0,0.0,0.04585708972809603,0.0,0.021552187980643928,0.0,0.014180349931443573,0.019658842165010213,0.010004940573321073,0.09167442257072424,0.0,0.08761181457794312,0.012173820061890613,0.08041431239876234,0.05419029745672263,0.0,0.05716145248072202,0.013638070087083448,0.07161961522208611,0.0,0.012384756252043662,0.013753430489736363,0.013934453640782968,0.0,0.016406269662946855,0.0,0.04436608869685258,0.01890778699091869,0.0,0.010320693879907169,0.0,0.01253545368244661,0.016226344895804094,0.0
7,7,0.0,0.03937587190717474,0.0,0.0,0.0,0.0,0.0,0.01267591364217151,0.3802428653233274,0.012279367761115002,0.0,0.0,0.0369924656097484,0.0,0.0,0.0,0.06064653019584657,0.03341988840357502,0.014253395052777774,0.010276693438653483,0.17838195425362963,0.0,0.0,0.010167540739267926,0.010062119307876741,0.0,0.0,0.0,0.0,0.011531912286907343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014842892170717001,0.0,0.0
8,8,0.02813467843122261,0.0,0.018000262026136308,0.0,0.0,0.0,0.0,0.03594821139905063,0.0,0.0,0.013135420743302687,0.025853079128035337,0.0,0.0,0.03248072377569709,0.0,0.0,0.0,0.0,0.0,0.011962783586411545,0.0,0.0,0.0,0.0,0.011691035576661762,0.0,0.0,0.0,0.4369609365565204,0.0,0.03883406277668633,0.0,0.0,0.09822807896911905,0.014617424794551043,0.0,0.014330037633512652,0.010894881475971636,0.0,0.010329973530196074,0.0,0.0
9,9,0.010840392107445727,0.0,0.015853931443919566,0.022054380833326063,0.0,0.0,0.01295992330748868,0.014535176769046304,0.010259183900568134,0.0,0.04642531294137207,0.0,0.03130362458575963,0.010439590326765301,0.022651511146416312,0.01007941643291831,0.010039758176374362,0.0,0.0,0.049549658251132764,0.0,0.013464962995467549,0.021658537452909934,0.0,0.019409780811276707,0.0,0.0,0.03845195767095146,0.0,0.017372139702462357,0.21343732408519198,0.06863247116016054,0.0,0.025349479290975543,0.010178900745336311,0.020075641756875214,0.04707705530711662,0.011082291037977626,0.028749791070335533,0.030120168470409884,0.0,0.013553535528736012,0.04007064372933417
