,Topic,Keyword,Weight
0,0,site,0.07184466019417475
1,0,network,0.029989212513484357
2,0,survey,0.021574973031283712
3,0,set,0.02017259978425027
4,0,information,0.015426105717367853
5,0,number,0.013807982740021575
6,0,provide,0.012405609492988134
7,0,support,0.011758360302049622
8,0,state,0.011542610571736785
9,0,location,0.010895361380798274
10,1,sediment,0.05532771605398554
11,1,river,0.04220416076355231
12,1,channel,0.0293788680933562
13,1,erosion,0.023488181343673104
14,1,rate,0.01923793900529416
15,1,floodplain,0.01692640369845649
16,1,landscape,0.01655357542316009
17,1,flood,0.015285959287152338
18,1,slope,0.012676161360077548
19,1,erosion_rate,0.012154201774662591
20,2,global,0.07270233196159122
21,2,identify,0.021604938271604937
22,2,world,0.013374485596707819
23,2,quality,0.01314586191129401
24,2,find,0.012688614540466393
25,2,analysis,0.012345679012345678
26,2,food,0.01211705532693187
27,2,issue,0.01108824874256973
28,2,current,0.010859625057155922
29,2,generate,0.010631001371742112
30,3,rock,0.020266759050753508
31,3,deformation,0.017581846526935736
32,3,km,0.01472371384029101
33,3,exhumation,0.013597782781915814
34,3,himalaya,0.012991512212021479
35,3,structural,0.010912870258098043
36,3,record,0.01021998960679023
37,3,zone,0.009527108955482418
38,3,depth,0.00944049887406894
39,3,core,0.009007448467001558
40,4,soil,0.1106622906673399
41,4,plant,0.035428763780190185
42,4,microbial,0.03223091811832029
43,4,ecosystem,0.019102920138012288
44,4,nitrogen,0.01666245897500631
45,4,effect,0.015484305310106876
46,4,increase,0.013717074812757721
47,4,process,0.012623074981065387
48,4,control,0.012286459648236978
49,4,nutrient,0.012202305815029875
50,5,forest,0.07754318618042226
51,5,vegetation,0.053358925143953934
52,5,tree,0.03598848368522073
53,5,cover,0.033109404990403074
54,5,urban,0.03253358925143954
55,5,area,0.02696737044145873
56,5,canopy,0.019193857965451054
57,5,landscape,0.018522072936660267
58,5,growth,0.017466410748560462
59,5,type,0.016794625719769675
60,6,fishery,0.035383235323432675
61,6,fish,0.026412837635801854
62,6,marine,0.021229941194059604
63,6,management,0.021229941194059604
64,6,population,0.017542111033589155
65,6,mpa,0.014053623043954949
66,6,size,0.013854280873118708
67,6,coral,0.013256254360609987
68,6,specie,0.012359214591846905
69,6,important,0.011163161566829463
70,7,year,0.07835568850718903
71,7,period,0.03917784425359452
72,7,drought,0.0318440606002123
73,7,annual,0.029721123226864807
74,7,summer,0.027405191546849367
75,7,time,0.022580333880150537
76,7,seasonal,0.020553893660137025
77,7,dry,0.01920293351346135
78,7,early,0.01756248190678375
