,Document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0,0,0.056197423245428826,0.28709210253011286,0.10898665615579231,0.11971319606076618,0.18516523787239297,0.10557478500207901,0.0676363557986117,0.06963424333481609
1,1,0.06054439769531223,0.055576465142259,0.492253290835732,0.08144355956233308,0.07420156441063445,0.06901506067072474,0.1092286556721804,0.05773700601082427
2,2,0.03907870514833296,0.08203460513739891,0.036328364341232336,0.033771537938386297,0.23870438738739236,0.481075110001439,0.03855721432472119,0.05045007572109697
3,3,0.10274913077770781,0.04845447572576501,0.06434960942712474,0.03757156282881589,0.2495709880350746,0.35077622962310206,0.03880931479033023,0.10771868879207956
4,4,0.06638114367060659,0.06580074488862783,0.4480965529316584,0.16600928592593456,0.06484850427801096,0.05867473291516555,0.06928480887635532,0.06090422651364056
5,5,0.07837521805708046,0.09788759920048011,0.3540443320494434,0.12370299774326021,0.09908591276251401,0.06597120761045745,0.11077698337482123,0.07015574920194302
6,6,0.1326956128526182,0.0737535188033291,0.09371007584838344,0.3551251070733774,0.06052478243010836,0.05411435965665844,0.13983026133842377,0.09024628199710143
7,7,0.03940284966223116,0.03068399663682767,0.3683474954017103,0.0761519678554857,0.044199621792525116,0.03694929332454625,0.36401037044773404,0.040254404878939734
8,8,0.4870009296676382,0.0781941934617794,0.055748026345835,0.17840794385670616,0.05060929174770274,0.05632749826013087,0.0509624106137195,0.042749706046488145
9,9,0.12633476390650863,0.41755974491427356,0.05612032491043114,0.061800157775631075,0.0534186298200248,0.0959402412109165,0.061847520457099917,0.12697861700511423
10,10,0.07939673246117351,0.4510340647855024,0.06291859077679708,0.0580813703602647,0.061622987253222836,0.14910442236504903,0.06986248891720993,0.06797934308078056
11,11,0.06367643489255265,0.08919740466008079,0.04518135501903403,0.24584600093059836,0.30600648078061127,0.12486953007022054,0.0417459092851815,0.08347688436172093
12,12,0.0786907368929958,0.07029581248855868,0.08000365760224448,0.06094175920503086,0.07315642860703117,0.06480419818933768,0.10329825295214028,0.46880915406266094
13,13,0.04399278641699829,0.0483448944671652,0.04633431493502598,0.06843316526717771,0.5942190931013048,0.08170305553695098,0.059027831541208844,0.0579448587341682
14,14,0.04493275311373409,0.14412133376321226,0.05280856688422342,0.08890042326297247,0.06282943346999349,0.0801835695115032,0.03263497476417351,0.4935889452301875
15,15,0.08430293991059556,0.05518914523052456,0.08653474941063709,0.06777472814662296,0.0555757717211551,0.07221051797383617,0.4632108526795916,0.11520129492703697
16,16,0.084302286527301,0.05518869208159082,0.08653323901056542,0.06777555565738022,0.055575242247721715,0.07221291293339435,0.4632111190691325,0.11520095247291401
17,17,0.0944296899483697,0.05551537788202707,0.434213348145737,0.05017041159935381,0.044387291830506555,0.12592159475120526,0.15565059257564753,0.03971169326715293
18,18,0.18861022292447716,0.05083332997604065,0.055722432190456965,0.48339224026919847,0.06799995071797832,0.05812278258868287,0.04954224058909359,0.04577680074407208
19,19,0.05139628488449172,0.3933256173417103,0.06807081969937159,0.03984827632858597,0.15044900639893988,0.2145146879520256,0.04315447560620834,0.0392408317886667
20,20,0.03400161597660813,0.061195990865061306,0.05661274601944719,0.04074348197710427,0.1252440584464579,0.04102103130606216,0.04435072622231959,0.5968303491869393
21,21,0.09849961633808516,0.06529458892225089,0.595053118876786,0.047021206145726226,0.035444413406365394,0.0849507974805194,0.04502493778048739,0.028711321049779574
22,22,0.0959506547473302,0.072640199330739,0.4158729045711079,0.12001323489393849,0.07798454885628192,0.061127672130144924,0.07470542834760706,0.08170535712285064
23,23,0.04404786931369438,0.039969588960626676,0.10879298406506882,0.06181056140914669,0.04984986704759062,0.04687808719903039,0.598142671200048,0.05050837080479445
24,24,0.06291645217164683,0.1218799746840623,0.32969114029878194,0.08235247268636342,0.05376858401243654,0.08740015960583108,0.19404627428915816,0.0679449422517199
25,25,0.050788269779373264,0.0682024531987262,0.049748507333053846,0.13135202838885673,0.11460912014468182,0.08311152622540803,0.37266172461278285,0.12952637031711736
26,26,0.259533379515642,0.10036252638004628,0.2834085063737695,0.1517754839508131,0.025260384906468807,0.05902449639358451,0.041750307342135334,0.07888491513754059
27,27,0.1040536705688121,0.2251776058561282,0.04776216444008854,0.11816765323356859,0.07939131435285501,0.06308241023180078,0.04138544348395284,0.32097973783279393
28,28,0.19502913420963341,0.14498462522495967,0.0869135524853866,0.09300553049079414,0.08156232608418555,0.12777654893490314,0.10430737917002467,0.1664209034001127
29,29,0.05698089426184724,0.03326879198018695,0.09777603079137272,0.05039459726644819,0.04278573069512359,0.04585887597409428,0.6122558478934833,0.06067923113744368
30,30,0.10678313800134533,0.07416109055265645,0.09332107885629606,0.07423933562831436,0.06384581976557686,0.0946278428363199,0.06316304843093638,0.4298586459285547
31,31,0.048064947083134246,0.05310239093765971,0.05413575106570036,0.08832244732202202,0.06827370601089292,0.054289289114098985,0.5207336005441028,0.11307786792238896
32,32,0.07446266508408741,0.5435547358002675,0.0624160995110082,0.053656599666871446,0.06311565747878943,0.06553963170383294,0.06389800891156255,0.07335660184358068
33,33,0.050244768719603095,0.05902464837429409,0.051211460507245954,0.0610823878471063,0.11713484614758558,0.13772060279068254,0.06083301542760768,0.4627482701858749
34,34,0.06623935381247154,0.060593727382171066,0.1349744818422516,0.06945564206619297,0.0831710758958703,0.09470423044368202,0.42921192135896674,0.06164956719839377
35,35,0.08924920149066189,0.16699420612437582,0.05685791607601512,0.24538065364556746,0.27493808805888703,0.08436397837167244,0.04091298337480221,0.0413029728580179
36,36,0.06190498890634931,0.07594998546932924,0.06450244283800498,0.5067126107748261,0.09992206790819107,0.06395474494144125,0.058376947910155616,0.06867621125170227
37,37,0.0652276105172265,0.05735099143309085,0.070294953436892,0.22317890398334211,0.1306567191815693,0.06749234838192697,0.07328390375953892,0.3125145693064134
38,38,0.04330296487204159,0.5916576435881199,0.04359474428550436,0.07296724071215317,0.06653743612472111,0.08422113526583488,0.043295755181762395,0.05442307996986256
39,39,0.0913819237460397,0.06153215426430634,0.27416290543280475,0.246067316287744,0.04951006154534622,0.10083401630396698,0.056867768352551425,0.11964385406724058
40,40,0.07071749032425874,0.16152980954514773,0.09443922246269039,0.12129923751741009,0.09940762116529911,0.279993107375549,0.09651687558898239,0.07609663602066251
41,41,0.11459054904251897,0.05455410933779741,0.052176353326406744,0.06070028610155326,0.06478010181963051,0.05886991315961033,0.5186625784973109,0.07566610871517199
42,42,0.07799624785272284,0.04261312641060339,0.09144035859022553,0.04933449762337065,0.057335060648904215,0.04513174837732733,0.5463156422722706,0.08983331822457537
43,43,0.043772012421981255,0.03712048124874024,0.04422019803463673,0.05367787661122956,0.11754898765825365,0.5990276555337873,0.04285006414518053,0.0617827243461907
44,44,0.05623008944327246,0.04725884672530459,0.04805319775465316,0.050622865175768327,0.11621409673707667,0.5572095280588241,0.0601361227855497,0.06427525331955103
45,45,0.08149187689609674,0.08106035817801314,0.07417607792172443,0.0662648864494439,0.09943849582311846,0.06160536584752456,0.11315891822118426,0.42280402066289446
46,46,0.12600400217573263,0.17271421946093096,0.07900195032446879,0.10747610579554397,0.12278531255817444,0.26767910060790784,0.05562936833338591,0.06870994074385536
47,47,0.06585121658498222,0.1668489865512518,0.07580405629086429,0.0809069204806139,0.08687187831021048,0.4023424398754187,0.08212721687440448,0.039247285032254116
48,48,0.08870332658700102,0.15041802368861487,0.09515489010970582,0.07777864671517498,0.1471016868012807,0.2820256583985649,0.06866196511272826,0.09015580258692955
49,49,0.07710206529432627,0.45125098261317953,0.0636776842102318,0.07103303625401573,0.13460640122081968,0.07478925100767614,0.05592790191032165,0.07161267748942902
50,50,0.041150865411412066,0.0725668892379098,0.07612832839692471,0.06638260023195428,0.41920567005689985,0.1571530037536201,0.07865483694119912,0.08875780597007998
51,51,0.07423422156246456,0.29188027168654096,0.05953461371291809,0.06677589515637439,0.08646381512740599,0.2667735938376907,0.09690114719919596,0.057436441717409276
52,52,0.0819391077767742,0.06888278296021255,0.06005410865209918,0.05588763547315362,0.0758025273949303,0.16858403827404495,0.06199017409766206,0.42685962537112315
53,53,0.13397946768067706,0.12275992585368145,0.049532408704958335,0.11309444593868315,0.36282645590626,0.08705434393365544,0.05727509662695306,0.07347785535513153
54,54,0.11165203633460702,0.06264283571128502,0.06944980024923197,0.06965042018035736,0.07339512321208409,0.06284296885007631,0.43758486936627067,0.11278194609608759
55,55,0.13849360207732736,0.04011478683738956,0.06402772375635238,0.444975801903537,0.12392075061987062,0.08044342860190795,0.038012191817943256,0.07001171438567179
56,56,0.24619136964972063,0.06052172850528179,0.06831386206513011,0.06260866123295829,0.06174898063522658,0.06264999736116666,0.27758344893494347,0.1603819516155725
57,57,0.04982535970384429,0.04179909271105656,0.0970205761859079,0.05225102556068719,0.0735003221235076,0.04899977191138184,0.588082955971432,0.048520895832182526
58,58,0.04701643507258413,0.08628651222170816,0.5126816581671577,0.07664880884561584,0.06981636022445616,0.062131179732097586,0.0979553684349222,0.04746367730145833
59,59,0.22327220180609336,0.10193319282156986,0.10628188083262081,0.11693342923277497,0.054252208146625444,0.2698279865583498,0.06380807087541324,0.06369102972655251
60,60,0.4754292120563902,0.08455977399846447,0.07213015842913477,0.06676020992417764,0.08026733468768321,0.07424926015168573,0.06376255831179452,0.08284149244066953
61,61,0.38495628568741114,0.04510684743914651,0.04474902973210706,0.15983014850899666,0.06894860316467427,0.11967898248439963,0.04661069171445033,0.13011941126881438
62,62,0.3990680164777152,0.04477515280095639,0.044685930221212256,0.15347196624911325,0.0701258927016708,0.11195609175223085,0.046486975574543316,0.12942997422255798
63,63,0.14542737627921615,0.059526581863523886,0.0967509345755255,0.31617468914697794,0.1561918664922682,0.08958675885179282,0.05133797881990965,0.08500381397078567
64,64,0.45412773837490905,0.07745350544027535,0.06566154420078409,0.14397637311655842,0.07523347241284774,0.06713953635858295,0.04687218377075873,0.06953564632528342
65,65,0.08241346723696492,0.09850086652351034,0.0974161416987277,0.08491822592888867,0.06723225821780328,0.365690131779476,0.12793921177174264,0.07588969684288659
66,66,0.08976020670484909,0.08916687087085343,0.07096190618713373,0.09181298355484169,0.1025308932353525,0.07321597899040218,0.08139775683766311,0.4011534036189043
67,67,0.05575321095036654,0.06243893094935778,0.0888208189166529,0.05321598305593235,0.04886248259640109,0.06617246069526261,0.5635446922386192,0.06119142059740747
68,68,0.12460013428784365,0.06367005518444854,0.23833566290850614,0.15341658741030018,0.048403894697773696,0.0787395496991097,0.09171357356375118,0.2011205422482668
69,69,0.08059531289482406,0.41661794016568665,0.07445285975606415,0.07640164993444853,0.11791323576301928,0.04449386687073599,0.05819286344525517,0.1313322711699661
70,70,0.24884979620254938,0.09261844469821713,0.08941648138445153,0.06256740731295785,0.07899657671895134,0.09209490195651208,0.20720882352373937,0.12824756820262118
71,71,0.06418616253387695,0.08853745617662799,0.060346778963362775,0.08229387166486285,0.06040925073615322,0.054117784531905105,0.08519829358378635,0.5049104018094248
72,72,0.1214003150017794,0.05665852896031694,0.03968345493182254,0.05268667303442205,0.0653294501177541,0.06160741834829341,0.041286367461651284,0.5613477921439601
73,73,0.08875751421242838,0.05179175651272341,0.05010217682121275,0.11794227280694947,0.22330269179846893,0.36595881997292706,0.048494972395055694,0.053649795480234394
74,74,0.04614947016774501,0.13348651399432493,0.08566112160135571,0.04256055532294901,0.05387134347257738,0.057529050121990895,0.0534875282870961,0.527254417031961
75,75,0.08953534589918134,0.06574869511124655,0.10922077105538124,0.4547894690844065,0.08028762317095832,0.059757285593903496,0.08436824533392186,0.05629256475100064
