,Topic,Keywords,Children,Parent,Level
0,"(0,)","([('model', 0.010387078858911991), ('using', 0.006568697281181812), ('change', 0.005245452746748924), ('system', 0.005219507031142712), ('process', 0.005197885446250439), ('used', 0.0050119394436478615), ('analysis', 0.0049859932623803616), ('time', 0.004934101365506649), ('may', 0.004618425387889147), ('two', 0.004562209360301495)],)","([263, 201, 200, 207, 270, 111, 145, 262, 264, 89, 44, 259, 257, 218, 93, 269, 256, 241, 202, 235, 151, 230, 266, 268, 271, 245, 267, 261, 102, 260, 251, 237, 137, 265, 255, 227, 157, 148, 131, 228, 258, 225, 69, 226, 176, 185, 249, 242, 203, 192, 248, 253, 190, 254, 234, 252, 178, 247, 219, 250, 246, 180, 229, 244, 224, 166, 240, 239, 236, 214, 238, 243, 99, 181, 233, 232, 231, 221, 113, 220, 211, 222, 142, 210, 223, 216, 217, 215, 183, 158, 189, 205, 109, 213, 212, 194, 209, 208, 206, 177, 198, 204, 106, 199, 197, 188, 184, 196, 195, 193, 186, 116, 191, 182, 187, 162, 179, 127, 175, 167, 165, 174, 173, 172, 171, 156, 170, 169, 168, 130, 164, 163, 161, 160, 159, 155, 154, 120, 153, 152, 140, 54, 150, 114, 149, 147, 146, 39, 125, 80, 144, 143, 141, 139, 138, 117, 115, 136, 135, 134, 133, 132, 108, 129, 128, 126, 84, 124, 123, 122, 121, 119, 71, 61, 70, 62, 118, 112, 110, 107, 105, 104, 103, 55, 101, 100, 98, 97, 96, 95, 94, 92, 91, 90, 88, 87, 86, 85, 83, 82, 81, 79, 78, 77, 76, 75, 74, 73, 72, 68, 67, 66, 65, 64, 63, 60, 59, 58, 57, 56, 53, 52, 51, 50, 49, 48, 47, 46, 45, 43, 42, 41, 40, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8],)","(-1,)","(0,)"
1,"(1,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","([],)","(-1,)","(-1,)"
2,"(2,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","([],)","(-1,)","(-1,)"
3,"(3,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","([],)","(-1,)","(-1,)"
4,"(4,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","([],)","(-1,)","(-1,)"
5,"(5,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","([],)","(-1,)","(-1,)"
6,"(6,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","([],)","(-1,)","(-1,)"
7,"(7,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","([],)","(-1,)","(-1,)"
8,"(8,)","([('climate', 0.017953388392925262), ('change', 0.01715041697025299), ('water', 0.011893223971128464), ('specie', 0.011362959630787373), ('ecosystem', 0.011150853708386421), ('model', 0.007848064415156841), ('management', 0.007787462789565325), ('forest', 0.007726861163973808), ('impact', 0.007575356867164373), ('land', 0.0067420843988657)],)","([],)","(0,)","(1,)"
9,"(9,)","([('lake', 0.057950422167778015), ('ecosystem', 0.020620565861463547), ('metabolism', 0.018949080258607864), ('change', 0.015048946253955364), ('nutrient', 0.012263135984539986), ('climate', 0.011705974116921425), ('emerald', 0.011705974116921425), ('dissolved', 0.011705974116921425), ('variability', 0.011148812249302864), ('atmospheric', 0.010591650381684303)],)","([],)","(0,)","(1,)"
10,"(10,)","([('hotspot', 0.0320855975151062), ('student', 0.023531338199973106), ('rurutu', 0.017115645110607147), ('motion', 0.014264225959777832), ('program', 0.014264225959777832), ('plume', 0.014264225959777832), ('plate', 0.012125661596655846), ('pacific', 0.011412806808948517), ('activity', 0.00998709723353386), ('teacher', 0.00927424244582653)],)","([],)","(0,)","(1,)"
11,"(11,)","([('disease', 0.03715097904205322), ('specie', 0.019054103642702103), ('tick', 0.019054103642702103), ('california', 0.016672935336828232), ('infection', 0.015244235284626484), ('population', 0.014768002554774284), ('human', 0.014768002554774284), ('host', 0.01429176889359951), ('pathogen', 0.013815535232424736), ('lyme', 0.013815535232424736)],)","([],)","(0,)","(1,)"
12,"(12,)","([('growth', 0.024008285254240036), ('proton', 0.017693638801574707), ('nanowire', 0.01390485092997551), ('membrane', 0.01390485092997551), ('hydrothermal', 0.01390485092997551), ('mechanism', 0.012641921639442444), ('nanowires', 0.011378992348909378), ('catalyst', 0.007590204942971468), ('mackinawite', 0.007590204942971468), ('greigite', 0.007590204942971468)],)","([],)","(0,)","(1,)"
13,"(13,)","([('shell', 0.023455502465367317), ('mollusc', 0.012944591231644154), ('gene', 0.012136058881878853), ('chytriodinium', 0.011327527463436127), ('sequence', 0.0105189960449934), ('ssu', 0.009710464626550674), ('microstructure', 0.009710464626550674), ('cambrian', 0.008901933208107948), ('microstructures', 0.008901933208107948), ('marine', 0.008093401789665222)],)","([],)","(0,)","(1,)"
14,"(14,)","([('mesoporous', 0.013270889408886433), ('material', 0.01277946587651968), ('cell', 0.00909379031509161), ('energy', 0.008602366782724857), ('capacity', 0.007128096651285887), ('structure', 0.006882385350763798), ('carbon', 0.006390961818397045), ('performance', 0.006390961818397045), ('device', 0.0058995382860302925), ('synthesis', 0.0058995382860302925)],)","([],)","(0,)","(1,)"
15,"(15,)","([('10be', 0.026977619156241417), ('measurement', 0.020984258502721786), ('sample', 0.02023508958518505), ('26al', 0.017987577244639397), ('standard', 0.014990896917879581), ('methane', 0.013492556288838387), ('oxide', 0.013492556288838387), ('laboratory', 0.013492556288838387), ('ratio', 0.013492556288838387), ('nitrous', 0.013492556288838387)],)","([],)","(0,)","(1,)"
16,"(16,)","([('mantle', 0.031184224411845207), ('lava', 0.01828077808022499), ('composition', 0.015144523233175278), ('melt', 0.013979628682136536), ('crust', 0.012366698123514652), ('isotopic', 0.012187483720481396), ('isotope', 0.011112197302281857), ('element', 0.01066416036337614), ('basalt', 0.010036909952759743), ('source', 0.00967848114669323)],)","([],)","(0,)","(1,)"
17,"(17,)","([('plant', 0.021605579182505608), ('soil', 0.016569005325436592), ('nanoparticles', 0.0113998893648386), ('effect', 0.0113998893648386), ('toxicity', 0.011134807020425797), ('exposure', 0.010339558124542236), ('concentration', 0.009544309228658676), ('growth', 0.008218894712626934), ('acid', 0.007821270264685154), ('exposed', 0.007821270264685154)],)","([],)","(0,)","(1,)"
18,"(18,)","([('spectral', 0.020416026934981346), ('using', 0.01392510998994112), ('vegetation', 0.01350634079426527), ('specie', 0.01193595863878727), ('airborne', 0.010051499120891094), ('imaging', 0.009946806356310844), ('image', 0.00942334532737732), ('resolution', 0.00910926889628172), ('infrared', 0.009004577063024044), ('endmember', 0.008585807867348194)],)","([],)","(0,)","(1,)"
19,"(19,)","([('uncertainty', 0.025975769385695457), ('lca', 0.0188125092536211), ('lcis', 0.017021695151925087), ('pre-calculated', 0.017021695151925087), ('distribution', 0.01612628810107708), ('life', 0.015230880118906498), ('cycle', 0.015230880118906498), ('moment', 0.013440065085887909), ('using', 0.013440065085887909), ('earthquake', 0.013440065085887909)],)","([],)","(0,)","(1,)"
20,"(20,)","([('no3', 0.031611185520887375), ('uptake', 0.02796514332294464), ('soil', 0.02674979716539383), ('concentration', 0.019457712769508362), ('plant', 0.01702701672911644), ('salt', 0.01702701672911644), ('desert', 0.015811670571565628), ('amf', 0.015811670571565628), ('earthworm', 0.014596322551369667), ('nitrogen', 0.014596322551369667)],)","([],)","(0,)","(1,)"
21,"(21,)","([('specie', 0.04640575870871544), ('native', 0.027715414762496948), ('grass', 0.025137439370155334), ('community', 0.018692491576075554), ('plant', 0.01804799772799015), ('exotic', 0.01568485051393509), ('invasion', 0.013536535203456879), ('effect', 0.011603050865232944), ('grassland', 0.010314061306416988), ('perennial', 0.010099230334162712)],)","([],)","(0,)","(1,)"
22,"(22,)","([('nanoparticles', 0.021554147824645042), ('water', 0.015856580808758736), ('removal', 0.014865697361528873), ('tio2', 0.012883935123682022), ('aggregation', 0.012883935123682022), ('particle', 0.012388493865728378), ('natural', 0.011893053539097309), ('nzvi', 0.009415850043296814), ('iron', 0.009415850043296814), ('surface', 0.008920409716665745)],)","([],)","(0,)","(1,)"
23,"(23,)","([('rock', 0.01402351539582014), ('deformation', 0.010317021980881691), ('crustal', 0.010131698101758957), ('metamorphism', 0.00901975017040968), ('age', 0.008649100549519062), ('dome', 0.008402001112699509), ('crust', 0.008402001112699509), ('monazite', 0.00809312704950571), ('zone', 0.008031351491808891), ('exhumation', 0.007907802239060402)],)","([],)","(0,)","(1,)"
