Topic,Keywords,Num_Docs,Children,Parent,Level
0,"['rate', 0.010383867658674717), 'within', 0.0064867655746638775), 'time', 0.0061131869442760944), 'two', 0.005875455215573311), 'surface', 0.005841493606567383), 'process', 0.005637723486870527), 'sediment', 0.005501876585185528), 'may', 0.005484895780682564), 'show', 0.005170750431716442), 'model', 0.0048990570940077305)]",3770,"[143, 94, 14, 255, 89, 254, 370, 249, 142, 248, 93, 141, 140, 139, 138, 137, 136, 95, 92, 91, 90, 88, 15, 13, 12, 11, 10, 9, 8]",-1,0
1,"['model', 2.9001477741985582e-05), 'change', 2.9001477741985582e-05), 'water', 2.9001477741985582e-05), 'specie', 2.9001477741985582e-05), 'climate', 2.9001477741985582e-05), 'using', 2.9001477741985582e-05), 'soil', 2.9001477741985582e-05), 'rate', 2.9001477741985582e-05), 'system', 2.9001477741985582e-05), 'surface', 2.9001477741985582e-05)]",0,[],-1,-1
2,"['model', 2.9001477741985582e-05), 'change', 2.9001477741985582e-05), 'water', 2.9001477741985582e-05), 'specie', 2.9001477741985582e-05), 'climate', 2.9001477741985582e-05), 'using', 2.9001477741985582e-05), 'soil', 2.9001477741985582e-05), 'rate', 2.9001477741985582e-05), 'system', 2.9001477741985582e-05), 'surface', 2.9001477741985582e-05)]",0,[],-1,-1
3,"['model', 2.9001477741985582e-05), 'change', 2.9001477741985582e-05), 'water', 2.9001477741985582e-05), 'specie', 2.9001477741985582e-05), 'climate', 2.9001477741985582e-05), 'using', 2.9001477741985582e-05), 'soil', 2.9001477741985582e-05), 'rate', 2.9001477741985582e-05), 'system', 2.9001477741985582e-05), 'surface', 2.9001477741985582e-05)]",0,[],-1,-1
4,"['model', 2.9001477741985582e-05), 'change', 2.9001477741985582e-05), 'water', 2.9001477741985582e-05), 'specie', 2.9001477741985582e-05), 'climate', 2.9001477741985582e-05), 'using', 2.9001477741985582e-05), 'soil', 2.9001477741985582e-05), 'rate', 2.9001477741985582e-05), 'system', 2.9001477741985582e-05), 'surface', 2.9001477741985582e-05)]",0,[],-1,-1
5,"['model', 2.9001477741985582e-05), 'change', 2.9001477741985582e-05), 'water', 2.9001477741985582e-05), 'specie', 2.9001477741985582e-05), 'climate', 2.9001477741985582e-05), 'using', 2.9001477741985582e-05), 'soil', 2.9001477741985582e-05), 'rate', 2.9001477741985582e-05), 'system', 2.9001477741985582e-05), 'surface', 2.9001477741985582e-05)]",0,[],-1,-1
6,"['model', 2.9001477741985582e-05), 'change', 2.9001477741985582e-05), 'water', 2.9001477741985582e-05), 'specie', 2.9001477741985582e-05), 'climate', 2.9001477741985582e-05), 'using', 2.9001477741985582e-05), 'soil', 2.9001477741985582e-05), 'rate', 2.9001477741985582e-05), 'system', 2.9001477741985582e-05), 'surface', 2.9001477741985582e-05)]",0,[],-1,-1
7,"['model', 2.9001477741985582e-05), 'change', 2.9001477741985582e-05), 'water', 2.9001477741985582e-05), 'specie', 2.9001477741985582e-05), 'climate', 2.9001477741985582e-05), 'using', 2.9001477741985582e-05), 'soil', 2.9001477741985582e-05), 'rate', 2.9001477741985582e-05), 'system', 2.9001477741985582e-05), 'surface', 2.9001477741985582e-05)]",0,[],-1,-1
8,"['change', 0.01807001419365406), 'specie', 0.015171632170677185), 'climate', 0.012812948785722256), 'ecosystem', 0.011653595604002476), 'impact', 0.009704683907330036), 'effect', 0.009075035341084003), 'environmental', 0.008545330725610256), 'management', 0.0070961397141218185), 'community', 0.006126680411398411), 'may', 0.005906803533434868)]",3586,"[162, 46, 329, 191, 190, 77, 164, 78, 262, 353, 482, 122, 186, 334, 257, 161, 188, 44, 261, 285, 259, 256, 281, 41, 185, 120, 43, 165, 163, 125, 110, 107, 76, 73, 47, 45, 40, 22, 18, 16]",0,1
9,"['seismic', 0.052382588386535645), 'velocity', 0.027103159576654434), 'pressure', 0.025297485291957855), 'wave', 0.019880464300513268), 'noise', 0.019880464300513268), 'shallow', 0.01265777088701725), 'rigidity', 0.01265777088701725), 'ground', 0.01265777088701725), 'frequency', 0.009046424180269241), 'vertical', 0.009046424180269241)]",4,[109],0,1
10,"['date', 0.026257699355483055), 'zircon', 0.021626712754368782), 'age', 0.021626712754368782), 'dike', 0.015452061779797077), 'craton', 0.013908399268984795), 'uhp', 0.013908399268984795), 'gneiss', 0.013908399268984795), 'metamorphism', 0.012364736758172512), 'province', 0.01082107424736023), 'u-pb', 0.01082107424736023)]",11,"[17, 166, 19]",0,1
11,"['removal', 0.02960454486310482), 'mag-pcmas', 0.02264081872999668), 'magnetic', 0.020899886265397072), 'surfactant', 0.01915895566344261), 'water', 0.014806625433266163), 'micelle', 0.012195227667689323), 'confined', 0.011324761435389519), 'sorption', 0.010454296134412289), 'phosphate', 0.009583829902112484), 'array', 0.009583829902112484)]",34,"[184, 121, 21, 20]",0,1
12,"['los', 0.042861491441726685), 'para', 0.03271275758743286), 'del', 0.03158511966466904), 'que', 0.023691659793257713), 'como', 0.012415286153554916), 'con', 0.012415286153554916), 'por', 0.011287649162113667), 'entre', 0.011287649162113667), 'rea', 0.011287649162113667), 'una', 0.010160012170672417)]",11,"[263, 284, 72, 23]",0,1
13,"['crystal', 0.041565995663404465), 'peritectic', 0.03387143835425377), 'cluster', 0.015404502861201763), 'experiment', 0.013865591958165169), 'olivine', 0.013865591958165169), 'melt', 0.013865591958165169), 'texture', 0.012326680123806), 'mineral', 0.012326680123806), 'magma', 0.012326680123806), 'xenocrysts', 0.010787769220769405)]",4,[189],0,1
14,"['thrust', 0.023674936965107918), 'sheet', 0.023674936965107918), 'beag', 0.01421442348510027), 'moine', 0.01421442348510027), 'sgurr', 0.01421442348510027), 'metamorphism', 0.007119036745280027), 'northern', 0.007119036745280027), 'scandian', 0.004753908608108759), 'scotland', 0.004753908608108759), 'orogenic', 0.004753908608108759)]",1,[160],0,1
15,"['specie', 0.03494176268577576), 'new', 0.026725005358457565), 'violaceae', 0.010291489772498608), 'lophodermium', 0.010291489772498608), 'pine', 0.00823730044066906), 'nuc', 0.0061831106431782246), 'aubl', 0.0061831106431782246), 'nitens', 0.0061831106431782246), 'v-shaped', 0.0061831106431782246), 'morphological', 0.004128920845687389)]",8,"[287, 280, 75]",0,1
