,Topic,Keywords,Docs,Children,Parent,Level
0,"(0,)","([('model', 0.015386220999062061), ('system', 0.009406236000359058), ('using', 0.007935862988233566), ('analysis', 0.0076333461329340935), ('process', 0.006479560397565365), ('approach', 0.006254431791603565), ('used', 0.0057056802324950695), ('also', 0.005557939410209656), ('environmental', 0.0049810465425252914), ('effect', 0.004889587871730328)],)","(3770,)","([12, 11, 10, 9, 8],)","(-1,)","(0,)"
1,"(1,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
2,"(2,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
3,"(3,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
4,"(4,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
5,"(5,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
6,"(6,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
7,"(7,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(0,)","([],)","(-1,)","(-1,)"
8,"(8,)","([('age', 0.011249870993196964), ('rock', 0.010813462547957897), ('rate', 0.010449789464473724), ('new', 0.008267749100923538), ('along', 0.008146525360643864), ('record', 0.0077828518114984035), ('fault', 0.00681305630132556), ('zone', 0.006788811180740595), ('crust', 0.006764566525816917), ('within', 0.006643341854214668)],)","(3026,)","([23, 417, 22, 16],)","(0,)","(1,)"
9,"(9,)","([('event', 0.02332950010895729), ('zone', 0.021909566596150398), ('sample', 0.018258310854434967), ('pattern', 0.016432682052254677), ('similar', 0.013998511247336864), ('variation', 0.013592815957963467), ('condition', 0.011970034800469875), ('structure', 0.011970034800469875), ('three', 0.011767187155783176), ('range', 0.01115864422172308)],)","(721,)","([17],)","(0,)","(1,)"
10,"(10,)","([('disease', 0.05298052355647087), ('lyme', 0.031403858214616776), ('human', 0.027480827644467354), ('incidence', 0.017673252150416374), ('fragmentation', 0.01571173593401909), ('forest', 0.01571173593401909), ('reduce', 0.011788706295192242), ('ecology', 0.011788706295192242), ('landuse', 0.011788706295192242), ('behaviour', 0.00786567572504282)],)","(9,)","([18],)","(0,)","(1,)"
11,"(11,)","([('lower', 0.018506966531276703), ('group', 0.016196483746170998), ('fauna', 0.009265036322176456), ('foramen', 0.006954552605748177), ('hypothesis', 0.006954552605748177), ('basal', 0.006954552605748177), ('section', 0.004644070286303759), ('bubble', 0.004644070286303759), ('younger', 0.004644070286303759), ('appears', 0.004644070286303759)],)","(7,)","([21, 19],)","(0,)","(1,)"
